Driver,Compound,TyreLife,FuelLoad,LapDelta,Tire_Fuel_Interaction
PER,HARD,12.0,34.8,0.0,0.335195530726257
PER,HARD,13.0,33.19999999999999,0.4479999999999933,0.38011695906432763
PER,HARD,14.0,31.599999999999994,0.3719999999999999,0.42944785276073627
PER,HARD,15.0,30.0,0.4829999999999899,0.4838709677419355
PER,HARD,16.0,28.39999999999999,0.6499999999999915,0.5442176870748301
PER,HARD,17.0,26.8,0.7620000000000005,0.6115107913669064
PER,HARD,18.0,25.19999999999999,1.1559999999999917,0.687022900763359
PER,HARD,19.0,23.599999999999994,1.2419999999999902,0.772357723577236
PER,HARD,20.0,22.0,1.2279999999999944,0.8695652173913043
PER,HARD,21.0,20.39999999999999,1.4609999999999985,0.9813084112149537
ALO,HARD,3.0,106.8,3.791000000000011,0.027829313543599257
ALO,HARD,4.0,105.2,2.4849999999999994,0.03766478342749529
ALO,HARD,5.0,103.6,3.2490000000000094,0.047801147227533466
ALO,HARD,6.0,102.0,2.801000000000002,0.05825242718446602
ALO,HARD,7.0,100.4,2.703000000000003,0.0690335305719921
ALO,HARD,8.0,98.8,2.3020000000000067,0.08016032064128256
ALO,HARD,9.0,97.2,2.2760000000000105,0.09164969450101833
ALO,HARD,10.0,95.6,2.852000000000004,0.10351966873706005
ALO,HARD,11.0,94.0,2.115000000000009,0.11578947368421053
ALO,HARD,12.0,92.4,2.445999999999998,0.1284796573875803
ALO,HARD,13.0,90.8,2.4110000000000014,0.14161220043572986
ALO,HARD,14.0,89.2,2.6940000000000026,0.15521064301552107
ALO,HARD,15.0,87.6,2.9620000000000033,0.16930022573363432
ALO,HARD,16.0,86.0,2.6450000000000102,0.1839080459770115
ALO,HARD,17.0,84.4,2.7460000000000093,0.1990632318501171
ALO,MEDIUM,3.0,79.6,2.4350000000000023,0.03722084367245658
ALO,MEDIUM,4.0,78.0,2.338000000000008,0.05063291139240506
ALO,MEDIUM,5.0,76.4,2.2109999999999985,0.06459948320413436
ALO,MEDIUM,6.0,74.8,1.9849999999999994,0.079155672823219
ALO,MEDIUM,7.0,73.19999999999999,1.9480000000000075,0.09433962264150945
ALO,MEDIUM,8.0,71.6,1.7940000000000111,0.11019283746556474
ALO,MEDIUM,9.0,70.0,2.2150000000000034,0.1267605633802817
ALO,MEDIUM,10.0,68.4,2.4950000000000045,0.1440922190201729
ALO,MEDIUM,11.0,66.8,2.76400000000001,0.16224188790560473
ALO,MEDIUM,12.0,65.19999999999999,1.7660000000000053,0.18126888217522663
ALO,MEDIUM,13.0,63.6,1.487000000000009,0.20123839009287928
ALO,MEDIUM,14.0,62.0,1.6820000000000022,0.2222222222222222
ALO,MEDIUM,15.0,60.4,1.862000000000009,0.24429967426710097
ALO,MEDIUM,16.0,58.8,1.9980000000000047,0.26755852842809363
ALO,MEDIUM,17.0,57.2,2.156000000000006,0.29209621993127144
ALO,MEDIUM,18.0,55.6,2.4250000000000114,0.31802120141342755
ALO,MEDIUM,20.0,52.4,2.2210000000000036,0.37453183520599254
ALO,MEDIUM,21.0,50.8,2.3689999999999998,0.40540540540540543
ALO,MEDIUM,22.0,49.2,2.0730000000000075,0.43824701195219123
ALO,MEDIUM,23.0,47.6,2.2790000000000106,0.4732510288065844
ALO,MEDIUM,24.0,46.0,2.2210000000000036,0.5106382978723404
ALO,HARD,3.0,41.2,1.2310000000000088,0.07109004739336493
ALO,HARD,4.0,39.6,0.9010000000000105,0.09852216748768472
ALO,HARD,5.0,38.0,0.9609999999999985,0.1282051282051282
ALO,HARD,6.0,36.39999999999999,0.8509999999999991,0.16042780748663105
